iter	Passed	Remaining
1548	6555	1908
1549	6559	1904
1550	6564	1900
1551	6568	1896
1552	6573	1892
1553	6578	1887
1554	6582	1883
1555	6587	1879
1556	6591	1875
1557	6596	1871
1558	6600	1867
1559	6605	1862
1560	6609	1858
1561	6614	1854
1562	6618	1850
1563	6623	1846
1564	6627	1842
1565	6632	1838
1566	6636	1833
1567	6641	1829
1568	6645	1825
1569	6649	1821
1570	6654	1817
1571	6658	1812
1572	6662	1808
1573	6667	1804
1574	6671	1800
1575	6676	1796
1576	6680	1791
1577	6684	1787
1578	6689	1783
1579	6693	1779
1580	6697	1775
1581	6701	1770
1582	6705	1766
1583	6709	1762
1584	6713	1757
1585	6718	1753
1586	6722	1749
1587	6727	1745
1588	6731	1741
1589	6734	1736
1590	6738	1732
1591	6743	1728
1592	6746	1723
1593	6750	1719
1594	6755	1715
1595	6759	1711
1596	6764	1707
1597	6769	1702
1598	6774	1698
1599	6778	1694
1600	6782	1690
1601	6787	1686
1602	6791	1682
1603	6796	1677
1604	6800	1673
1605	6805	1669
1606	6810	1665
1607	6814	1661
1608	6820	1657
1609	6826	1653
1610	6830	1649
1611	6834	1645
1612	6838	1640
1613	6843	1636
1614	6847	1632
1615	6851	1628
1616	6856	1624
1617	6861	1619
1618	6865	1615
1619	6871	1611
1620	6875	1607
1621	6879	1603
1622	6884	1599
1623	6888	1594
1624	6893	1590
1625	6897	1586
1626	6901	1582
1627	6906	1578
1628	6910	1573
1629	6915	1569
1630	6919	1565
1631	6923	1561
1632	6928	1557
1633	6932	1552
1634	6936	1548
1635	6941	1544
1636	6946	1540
1637	6951	1536
1638	6955	1532
1639	6959	1527
1640	6963	1523
1641	6967	1519
1642	6971	1514
1643	6976	1510
1644	6980	1506
1645	6984	1502
1646	6988	1497
1647	6993	1493
1648	6996	1489
1649	7000	1485
1650	7005	1480
1651	7009	1476
1652	7013	1472
1653	7017	1467
1654	7022	1463
1655	7026	1459
1656	7029	1455
1657	7033	1450
1658	7037	1446
1659	7041	1442
1660	7045	1438
1661	7050	1433
1662	7054	1429
1663	7058	1425
1664	7062	1420
1665	7066	1416
1666	7070	1412
1667	7075	1408
1668	7079	1404
1669	7084	1399
1670	7088	1395
1671	7093	1391
1672	7098	1387
1673	7102	1383
1674	7107	1379
1675	7111	1374
1676	7116	1370
1677	7120	1366
1678	7124	1362
1679	7128	1357
1680	7133	1353
1681	7137	1349
1682	7141	1345
1683	7146	1340
1684	7149	1336
1685	7155	1332
1686	7160	1328
1687	7165	1324
